"userid","transcript"
"614f4893a7f27d638ea5e58c","This was very interesting.  Thanks for the opportunity to reflect on these things!"
"62ba9df7bf9e8e2ef0501f94","Very interesting study, thank you!"
"5c475371453cd1000186f208","5c475371453cd1000186f208"
"6394e32126ebbdc7b10c6748","Thanks - I really enjoyed this one!"
"5a99003d777df200015ff521","I have none, thanks!"
"6152095d0b65b445c020dab6","This has been a fascinating experience, and I am intrigued by your possible future study and/or product in the journaling space. Please keep me informed!"
"6314395ce933c9b91e9be41a","The minimum time for talking should be lowered. I had trouble with coming up with more things to say about a certain topic to fit within that timeframe. The study did help me reflect on myself a bit though, so I'm appreciative regardless."
"5e3dbf3d216cf7000cfa0d29","Thank you.  It made a positive impact on my day to think and speak about things in my life."
"5f4d3869219f129c586b5f75","5f4d3869219f129c586b5f75"
"62ceb98594c924be25e1db41","62ceb98594c924be25e1db41"
"5e05169c37241cf5527d7f6a","5e05169c37241cf5527d7f6a"
"601621b8ea15977a10529e99","Am I supposed to type something here?"
"5c800507a1d4b900114f28c4","Thank you"
"5f1c2ebf1d8b7c48ad3ec3db","sorry it took me so long to complete this study, I love this kind of research and studys"
"6102c2bafd71006cf4fcbd67","It only allowed me to do one voice recording then for the rest said “hardware device mot accepted” I would like to finish the survey for payment. Just didn’t know if anyone else had this problem"
"62e029e5f033472477c5cf63","Thank you!"
"60febcdb2e66a515598bc0ba","60febcdb2e66a515598bc0ba"
"5e76c87c0fd39b22d52eba04","Emotions came up that I didn't see coming."
"60fccbcc1254e074f17d5565","60fccbcc1254e074f17d5565"
"63a4c930cad013279a39566c","Thank you for the survey"
"5b6cb3049ee1a50001c5ef0f","The test audio file didn't seem to upload but the question audio files all seemed to upload (?)"
"5a2846ceb4a5de00011af418","Thanks so much for the opportunity to participate today. I went through some very traumatic times in my youth, and journaling really saved me. I appreciate you for reminding me that is an option. While it was challenging to talk about some of these topics, I appreciate the experience and am hopeful for a better future. Thanks again for the opportunity. I welcome the chance to take part in subsequent tasks. Best of luck with your research!"
